Chicken,Uncertain,Date,High,Low,Weather,Breed
Peppa,,11/21/20,72,41,Clear,Orpington
Peppa,,11/25/20,70,46,Rain,Orpington
Peppa,,11/26/20,64,34,Clear,Orpington
Peppa,,11/28/20,54,43,Mostly Cloudy,Orpington
Snowy,,11/28/20,54,43,Mostly Cloudy,Americauna
Snowy,,11/29/20,50,43,Rain,Americauna
Peppa,Y,11/30/20,41,27,Mostly Cloudy,Orpington
Snowy,,12/1/20,50,23,Clear,Americauna
Peppa,Y,12/2/20,54,21,Clear,Orpington
Snowy,,12/3/20,52,37,Mostly Cloudy,Americauna
Snowy,,12/4/20,50,32,Mostly Cloudy,Americauna
Peppa,,12/5/20,59,28,Clear,Orpington
Snowy,,12/6/20,55,30,Partly Cloudy,Americauna
Peppa,,12/7/20,46,30,Clear,Orpington
Peppa,,12/8/20,59,27,Clear,Orpington
Peppa,,12/9/20,58,28,Clear,Orpington
Snowy,,12/9/20,68,28,Clear,Americauna
Peppa,,12/11/20,66,34,Mostly Cloudy,Orpington
Peppa,,12/12/20,63,43,Mostly Cloudy,Orpington
Snowy,,12/12/20,63,43,Mostly Cloudy,Americauna
Peppa,,12/13/20,61,34,Partly Cloudy,Orpington
Snowy,,12/13/20,61,34,Partly Cloudy,Americauna
Peppa,,12/14/20,43,36,Overcast,Orpington
Snowy,,12/14/20,43,36,Overcast,Americauna
Mocha,,12/15/20,48,30,Mostly Cloudy,Orpington
Snowy,,12/16/20,41,36,Overcast,Americauna
Snowy,,12/17/20,45,28,Clear,Americauna
Peppa,Y,12/18/20,52,23,Clear,Orpington
Snowy,,12/18/20,52,23,Clear,Americauna
Snowy,,12/20/20,54,45,Overcast,Americauna
Peppa,,12/21/20,63,37,Clear,Orpington
Snowy,,12/21/20,63,37,Clear,Americauna
Snowy,,12/23/20,64,41,Overcast,Americauna
Snowy,,12/24/20,59,28,Clear,Americauna
Peppa,Y,12/25/20,37,25,Clear,Orpington
Peppa,Y,12/26/20,57,21,Clear,Orpington
Snowy,,12/26/20,57,21,Clear,Americauna
Snowy,,12/27/20,63,28,Clear,Americauna
Snowy,,12/30/20,70,46,Partly Cloudy,Americauna
Peppa,Y,12/30/20,70,46,Partly Cloudy,Orpington
Mocha,,12/31/20,61,46,Overcast,Orpington
Peppa,,1/1/21,64,37,Clear,Orpington
Snowy,,1/1/21,64,37,Clear,Americauna
Snowy,,1/2/21,45,32,Mostly Cloudy,Americauna
Peppa,Y,1/3/21,54,28,Clear,Orpington
Snowy,,1/3/21,54,28,Clear,Americauna
Snowy,,1/8/21,39,36,Overcast,Americauna
Peppa,Y,1/10/21,37,32,Overcast,Orpington
Peppa,Y,1/15/21,32,32,Clear,Orpington
Snowy,,1/15/21,32,32,Clear,Americauna
Peppa,Y,1/16/21,46,28,Clear,Orpington
Snowy,,1/16/21,46,28,Clear,Americauna
Peppa,Y,1/17/21,55,28,Clear,Orpington
Snowy,,1/17/21,55,28,Clear,Americauna
Snowy,,1/19/21,50,34,Rain,Americauna
Peppa,,1/20/21,54,37,Mostly Cloudy,Orpington
Snowy,,1/21/21,54,43,Rain,Americauna
Peppa,,1/22/21,54,21,Overcast,Orpington
Snowy,,1/22/21,54,21,Overcast,Americauna
Peppa,,1/24/21,55,43,Rain,Orpington
Snowy,,1/25/21,73,52,Mostly Cloudy,Americauna
Snowy,,1/26/21,67,45,Mostly Cloudy,Americauna
Peppa,,1/27/21,55,37,Mostly Cloudy,Orpington
Peppa,,1/29/21,54,27,Clear,Orpington
Peppa,,1/31/21,64,39,Mostly Cloudy,Orpington
Peppa,,2/2/21,46,28,Clear,Orpington
Peppa,,2/4/21,59,34,Mostly Cloudy,Orpington
Peppa,,2/6/21,50,28,Mostly Cloudy,Orpington
Peppa,,2/8/21,59,28,Clear,Orpington
Peppa,,2/10/21,72,37,Mostly Cloudy,Orpington
Mocha,Y,2/16/21,23,10,Mostly Cloudy,Orpington
Mocha,Y,2/18/21,32,28,Overcast,Orpington
Peppa,Y,2/20/21,46,19,Clear,Orpington
Peppa,,2/24/21,73,36,Clear,Orpington
Mocha,,2/25/21,70,50,Partly Cloudy,Orpington
Peppa,,2/26/21,63,46,Rain,Orpington
Mocha,,2/27/21,75,59,Overcast,Orpington
Peppa,,2/28/21,79,61,Overcast,Orpington
Dolche,,2/28/21,79,61,Overcast,Orpington
Mocha,,3/1/21,61,45,Rain,Orpington
Peppa,,3/2/21,46,36,Overcast,Orpington
Mocha,,3/2/21,46,36,Overcast,Orpington
Dolche,,3/2/21,46,36,Overcast,Orpington
Peppa,,3/3/21,61,32,Clear,Orpington
Dolche,,3/3/21,61,32,Clear,Orpington
Mocha,,3/4/21,63,32,Clear,Orpington
